platform,score,link,userScore,releaseDate,Title,
3ds,72,https://www.metacritic.com/game/3ds/yo-kai-watch-2-bony-spirits,7.6,2016-09-30,Yo-kai Watch 2: Bony Spirits,
3ds,72,https://www.metacritic.com/game/3ds/mighty-gunvolt,7,2014-08-29,Mighty Gunvolt,
3ds,72,https://www.metacritic.com/game/3ds/squids-odyssey,,2014-07-03,Squids Odyssey,
3ds,72,https://www.metacritic.com/game/3ds/disney-art-academy,7.1,2016-05-13,Disney Art Academy,
3ds,72,https://www.metacritic.com/game/3ds/steel-empire,7.7,2014-07-31,Steel Empire,
3ds,72,https://www.metacritic.com/game/3ds/dragon-ball-fusions,8,2016-11-22,Dragon Ball: Fusions,
3ds,72,https://www.metacritic.com/game/3ds/laytons-mystery-journey-katrielle-and-the-millionaires-conspiracy,6.8,2017-10-06,Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy,
3ds,71,https://www.metacritic.com/game/3ds/nintendogs-+-cats-french-bulldog-new-friends,7.1,2011-03-27,Nintendogs + Cats: French Bulldog & New Friends,
3ds,71,https://www.metacritic.com/game/3ds/rayman-origins,6.3,2012-11-06,Rayman Origins,
3ds,71,https://www.metacritic.com/game/3ds/disney-magical-world,7.4,2014-04-11,Disney Magical World,
3ds,71,https://www.metacritic.com/game/3ds/nintendogs-+-cats-toy-poodle-new-friends,7.1,2011-03-27,Nintendogs + Cats: Toy Poodle & New Friends,
3ds,71,https://www.metacritic.com/game/3ds/nintendogs-+-cats-golden-retriever-new-friends,7.3,2011-03-27,Nintendogs + Cats: Golden Retriever & New Friends,
3ds,71,https://www.metacritic.com/game/3ds/tomodachi-life,7.7,2014-06-06,Tomodachi Life,
3ds,71,https://www.metacritic.com/game/3ds/ikachan,7.2,2013-01-31,Ikachan,
3ds,71,https://www.metacritic.com/game/3ds/wwe-all-stars,7.1,2011-11-22,WWE All Stars,
3ds,71,https://www.metacritic.com/game/3ds/lego-harry-potter-years-5-7,6.8,2011-11-11,LEGO Harry Potter: Years 5-7,
3ds,71,https://www.metacritic.com/game/3ds/lego-pirates-of-the-caribbean-the-video-game,7.1,2011-05-10,LEGO Pirates of the Caribbean: The Video Game,
3ds,71,https://www.metacritic.com/game/3ds/naruto-powerful-shippuden,6,2013-03-05,Naruto Powerful Shippuden,
3ds,71,https://www.metacritic.com/game/3ds/crush3d,7.4,2012-03-06,CRUSH3D,
3ds,71,https://www.metacritic.com/game/3ds/ace-combat-assault-horizon-legacy,7.5,2011-11-15,Ace Combat: Assault Horizon Legacy,
3ds,71,https://www.metacritic.com/game/3ds/pilotwings-resort,7.2,2011-03-27,Pilotwings Resort,
3ds,71,https://www.metacritic.com/game/3ds/detective-pikachu,7.4,2018-03-23,Detective Pikachu,
3ds,70,https://www.metacritic.com/game/3ds/fractured-soul,7.5,2012-09-13,Fractured Soul,
3ds,70,https://www.metacritic.com/game/3ds/steel-diver-sub-wars,7.6,2014-02-13,Steel Diver: Sub Wars,
3ds,70,https://www.metacritic.com/game/3ds/hyrule-warriors-legends,7.4,2016-03-25,Hyrule Warriors Legends,
