platform,Title,Score,compatibility,link,user score,release date,Price,price charting id,,release year,score tier,score pctl,price tier,price pctl,points per dollar,ppd 69,
3ds,Inazuma Eleven,78,,https://www.metacritic.com/game/3ds/inazuma-eleven,8,"Feb 13, 2014",,,,2014,,,,,,,
3ds,Shin Megami Tensei: Devil Survivor Overclocked,78,,https://www.metacritic.com/game/3ds/shin-megami-tensei-devil-survivor-overclocked,4.4,"Aug 23, 2011",,,,2011,,,,,,,
3ds,New Super Mario Bros. 2,78,,https://www.metacritic.com/game/3ds/new-super-mario-bros-2,7.2,"Aug 19, 2012",,,,2012,,,,,,,
3ds,Style Savvy: Fashion Forward,78,,https://www.metacritic.com/game/3ds/style-savvy-fashion-forward,6.9,"Aug 19, 2016",,,,2016,,,,,,,
3ds,Tom Clancy's Ghost Recon: Shadow Wars,77,,https://www.metacritic.com/game/3ds/tom-clancys-ghost-recon-shadow-wars,7.9,"Mar 22, 2011",,,,2011,,,,,,,
3ds,Kokuga,77,,https://www.metacritic.com/game/3ds/kokuga,7.5,"Jun 27, 2013",,,,2013,,,,,,,
3ds,Mega Man Legacy Collection,77,,https://www.metacritic.com/game/3ds/mega-man-legacy-collection,8.8,"Feb 23, 2016",,,,2016,,,,,,,
3ds,Etrian Mystery Dungeon,77,,https://www.metacritic.com/game/3ds/etrian-mystery-dungeon,8,"Apr 7, 2015",,,,2015,,,,,,,
3ds,Apollo Justice: Ace Attorney,77,,https://www.metacritic.com/game/3ds/apollo-justice-ace-attorney,8.1,"Nov 21, 2017",,,,2017,,,,,,,
3ds,Inazuma Eleven Go: Chrono Stones: Thunderflash,77,,https://www.metacritic.com/game/3ds/inazuma-eleven-go-chrono-stones-thunderflash,7.8,"Mar 27, 2015",,,,2015,,,,,,,
3ds,Corpse Party,77,,https://www.metacritic.com/game/3ds/corpse-party,7.8,"Oct 25, 2016",,,,2016,,,,,,,
3ds,3D Classics: Kid Icarus,77,,https://www.metacritic.com/game/3ds/3d-classics-kid-icarus,7.4,"Mar 23, 2012",,,,2012,,,,,,,
3ds,Azure Striker Gunvolt,77,,https://www.metacritic.com/game/3ds/azure-striker-gunvolt,8.1,"Aug 29, 2014",,,,2014,,,,,,,
3ds,Super Little Acorns 3D Turbo,77,,https://www.metacritic.com/game/3ds/super-little-acorns-3d-turbo,7,"Apr 18, 2013",,,,2013,,,,,,,
3ds,Poochy & Yoshi's Woolly World,77,,https://www.metacritic.com/game/3ds/poochy-yoshis-woolly-world,7.9,"Feb 3, 2017",,,,2017,,,,,,,
3ds,Tappingo 2,77,,https://www.metacritic.com/game/3ds/tappingo-2,7.4,"Sep 4, 2014",,,,2014,,,,,,,
3ds,3D Classics: Kirby's Adventure,77,,https://www.metacritic.com/game/3ds/3d-classics-kirbys-adventure,7.9,"Nov 17, 2011",,,,2011,,,,,,,
3ds,Inazuma Eleven Go: Chrono Stones: Wildfire,77,,https://www.metacritic.com/game/3ds/inazuma-eleven-go-chrono-stones-wildfire,7.7,"Mar 27, 2015",,,,2015,,,,,,,
3ds,The Keep,77,,https://www.metacritic.com/game/3ds/the-keep,7.9,"Sep 11, 2014",,,,2014,,,,,,,
3ds,Attack of the Friday Monsters! A Tokyo Tale,77,,https://www.metacritic.com/game/3ds/attack-of-the-friday-monsters!-a-tokyo-tale,7.6,"Jul 18, 2013",,,,2013,,,,,,,
3ds,Pokemon Art Academy,76,,https://www.metacritic.com/game/3ds/pokemon-art-academy,7.7,"Oct 24, 2014",,,,2014,,,,,,,
3ds,Ketzal's Corridors,76,,https://www.metacritic.com/game/3ds/ketzals-corridors,7.6,"Apr 12, 2012",,,,2012,,,,,,,
3ds,Yo-kai Watch,76,,https://www.metacritic.com/game/3ds/yo-kai-watch,8,"Nov 6, 2015",,,,2015,,,,,,,
3ds,Mario & Luigi: Paper Jam,76,,https://www.metacritic.com/game/3ds/mario-luigi-paper-jam,7.6,"Jan 22, 2016",,,,2016,,,,,,,
3ds,The Denpa Men 2: Beyond the Waves,76,,https://www.metacritic.com/game/3ds/the-denpa-men-2-beyond-the-waves,6.4,"May 30, 2013",,,,2013,,,,,,,
3ds,Azure Striker Gunvolt 2,76,,https://www.metacritic.com/game/3ds/azure-striker-gunvolt-2,8.2,"Sep 29, 2016",,,,2016,,,,,,,
3ds,Ever Oasis,76,,https://www.metacritic.com/game/3ds/ever-oasis,8.1,"Jun 23, 2017",,,,2017,,,,,,,
3ds,Rhythm Thief & the Emperor's Treasure,76,,https://www.metacritic.com/game/3ds/rhythm-thief-the-emperors-treasure,8,"Jul 10, 2012",,,,2012,,,,,,,
3ds,7th Dragon III Code: VFD,76,,https://www.metacritic.com/game/3ds/7th-dragon-iii-code-vfd,7.8,"Jul 12, 2016",,,,2016,,,,,,,
3ds,Crimson Shroud,76,,https://www.metacritic.com/game/3ds/crimson-shroud,8,"Dec 13, 2012",,,,2012,,,,,,,
3ds,Story of Seasons,76,,https://www.metacritic.com/game/3ds/story-of-seasons,7.9,"Mar 31, 2015",,,,2015,,,,,,,
3ds,Tales of the Abyss,75,,https://www.metacritic.com/game/3ds/tales-of-the-abyss,8.3,"Feb 14, 2012",,,,2012,,,,,,,
3ds,Paper Mario: Sticker Star,75,,https://www.metacritic.com/game/3ds/paper-mario-sticker-star,5.6,"Nov 11, 2012",,,,2012,,,,,,,
